Client,CLAIM_TYPE,CLAIM_CAUSE,CLAIM_YEAR,DAMAGE_DATE,LAST_MONTH_NET_PAID,LAST_MONTH_REMAINING_RESERVES,LAST_MONTH_INCURRED,DEDUCTIBLE,FLEET_TYPE,FLEET_GROUP,Net paid adj,Reserves adj,Incurred adj,idx,Net paid idx,Reserves idx,Incurred idx,Incl. 0,Ex. 0,minor,major
Client - 10,Kasko,Annan olycka,2019,2019-02-15,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.200558420259328,0.0,0.0,0.0,1,0,0,0
Client - 10,Bilansvar,Påkörd/bilolycka,2019,2019-09-13,0,0,0,0,,,0,0,0,1.1775549542754817,0.0,0.0,0.0,1,0,0,0
Client - 10,"Ansvar, Vagn, Additional insurance","Påkjørt parkert bil, Annan olycka, Rental car",2020,2020-09-24,0,0,0,0,Lätt lastbil,Lätt lastbil,0,0,0,1.1542833305193285,0.0,0.0,0.0,1,0,0,0
Client - 10,"Ansvar, Additional insurance, Vagn","Påkjørt bakfra, Rental car, Annan olycka",2019,2019-09-13,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.1775549542754817,0.0,0.0,0.0,1,0,0,0
Client - 10,"Vagn, Kasko","Annan olycka, Kört/backat på fasta föremål",2019,2019-12-08,10168,0,10168,0,Lätt lastbil,Lätt lastbil,10168,0,10168,1.1705609685452083,11902.263928167678,0.0,11902.263928167678,1,1,11902,0
Client - 10,Ansvar,Yield,2019,2019-10-07,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.1752586153280005,0.0,0.0,0.0,1,0,0,0
Client - 10,Partly own damage,Rescue,2020,2020-03-02,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.1657876971211079,0.0,0.0,0.0,1,0,0,0
Client - 10,"Ansvar, Vagn, Additional insurance","Påkjørt parkert bil, Annan olycka, Rental car",2022,2022-02-02,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.0760148127716114,0.0,0.0,0.0,1,0,0,0
Client - 10,Partly own damage,Glass - replacement of windshield,2019,2019-04-26,3623,0,3623,0,Lätt lastbil,Lätt lastbil,3623,0,3623,1.1924174712054612,4320.128498177386,0.0,4320.128498177386,1,1,4320,0
Client - 10,"Ansvar, Additional insurance, Vagn","Yield, Rental car, Annan olycka",2020,2020-06-11,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.1611101902209282,0.0,0.0,0.0,1,0,0,0
Client - 10,"Additional insurance, Ansvar, Vagn","Rental car, Påkjørt parkert bil, Annan olycka",2019,2019-10-07,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.1752586153280005,0.0,0.0,0.0,1,0,0,0
Client - 10,"Vagn, Partly own damage","Annan olycka, Rescue",2020,2020-03-25,25036,0,25036,0,Personbil,Personbil Hel,25036,0,25036,1.1657876971211079,29186.660785124055,0.0,29186.660785124055,1,1,29186,0
Client - 10,"Additional insurance, Vagn","Rental car, Damage",2019,2019-05-31,2911,0,2911,0,Personbil,Personbil Hel,2911,0,2911,1.1889382243053055,3460.9991709527444,0.0,3460.9991709527444,1,1,3460,0
Client - 10,"Additional insurance, Vagn","Rental car, Single vehicle accident",2020,2020-11-26,12338,0,12338,0,Lätt lastbil,Lätt lastbil,12338,0,12338,1.1482108277162304,14166.625192362852,0.0,14166.625192362852,1,1,14166,0
Client - 10,"Vagn, Additional insurance","Single vehicle accident, Rental car",2022,2022-03-29,6175,0,6175,0,Personbil,Personbil Hel,6175,0,6175,1.06941858798354,6603.65978079836,0.0,6603.65978079836,1,1,6603,0
Client - 10,Partly own damage,Glass - replacement of windshield,2022,2022-11-18,4827,0,4827,0,Lätt lastbil,Lätt lastbil,4827,0,4827,1.0328665478267447,4985.646826359696,0.0,4985.646826359696,1,1,4985,0
Client - 10,"Additional insurance, Vagn","Rental car, Single vehicle accident",2023,2023-02-16,0,11257,11257,0,Lätt lastbil,Lätt lastbil,0,11257,11257,1.0210603684950852,0.0,11494.076568149174,11494.076568149174,1,1,11494,0
Client - 10,Partly own damage,Rescue,2021,2021-01-29,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.142055847439159,0.0,0.0,0.0,1,0,0,0
Client - 10,Partly own damage,Rescue,2021,2021-11-10,0,0,0,0,Personbil,Personbil Hel,0,0,0,1.093799709780107,0.0,0.0,0.0,1,0,0,0
Client - 10,Partly own damage,Rescue,2021,2021-09-23,0,0,0,0,Lätt lastbil,Lätt lastbil,0,0,0,1.105121786731954,0.0,0.0,0.0,1,0,0,0
Client - 10,Partly own damage,Glass - replacement of windshield,2022,2022-08-03,7930,0,7930,0,Lätt lastbil,Lätt lastbil,7930,0,7930,1.0455592846950434,8291.285127631694,0.0,8291.285127631694,1,1,8291,0
Client - 10,Ansvar,Påkjørt parkert bil,2020,2020-11-16,22566,0,22566,0,Lätt lastbil,Lätt lastbil,22566,0,22566,1.1482108277162304,25910.525538244456,0.0,25910.525538244456,1,1,25910,0
Client - 10,"Vagn, Additional insurance","Single vehicle accident, Rental car",2023,2023-02-03,0,0,0,0,Lätt lastbil,Lätt lastbil,0,0,0,1.0210603684950852,0.0,0.0,0.0,1,0,0,0
Client - 10,"Additional insurance, Vagn","Rental car, Single vehicle accident",2022,2022-08-03,3284,0,3284,0,Lätt lastbil,Lätt lastbil,3284,0,3284,1.0455592846950434,3433.616690938523,0.0,3433.616690938523,1,1,3433,0
Client - 10,Partly own damage,Glass - replacement of windshield,2019,2019-11-06,2604,0,2604,0,Personbil,Personbil Hel,2604,0,2604,1.1726796840969527,3053.657897388465,0.0,3053.657897388465,1,1,3053,0
Client - 10,"Vagn, Kasko","Annan olycka, Kört/backat på fasta föremål",2020,2020-04-27,21895,0,21895,0,Lätt lastbil,Lätt lastbil,21895,0,21895,1.164242831465623,25491.096794939815,0.0,25491.096794939815,1,1,25491,0
Client - 10,Partly own damage,Glass - replacement of windshield,2020,2020-02-16,3124,0,3124,0,Personbil,Personbil Halv,3124,0,3124,1.1671869599566365,3646.2920629045325,0.0,3646.2920629045325,1,1,3646,0
Client - 10,"Additional insurance, Vagn","Rental car, Annan olycka",2021,2021-05-04,0,0,0,0,Lätt lastbil,Lätt lastbil,0,0,0,1.124962624879171,0.0,0.0,0.0,1,0,0,0
Client - 10,Partly own damage,Rescue,2022,2022-05-20,0,0,0,0,Personbil,Personbil Halv,0,0,0,1.0589936876090518,0.0,0.0,0.0,1,0,0,0
Client - 10,"Additional insurance, Vagn","Rental car, Single vehicle accident",2023,2023-02-16,0,0,0,0,Lätt lastbil,Lätt lastbil,0,0,0,1.0210603684950852,0.0,0.0,0.0,1,0,0,0
Client - 10,"Ansvar, Vagn","Påkjørt parkert bil, Annan olycka",2019,2019-08-29,0,0,0,0,Lätt lastbil,Lätt lastbil,0,0,0,1.1799791046919559,0.0,0.0,0.0,1,0,0,0
