Client,regnr,Marke,Fordonsslag,Fordonsstatus,Karosserikod,Arsmodell,TotalVikt,Egenklass,Motoreffekt,Handelsbet,Karossny,api_matched,UW_Kategori,classification_method,classification_confidence,classification_reasoning
Client - 8,REGNR1,TOYOTA,PB,ITRAFIK,Fordon avsett för fler ändamål,2019.0,,Personbil,880,PROACE,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 8,REGNR2,TOYOTA,PB,ITRAFIK,Halvkombi,2020.0,,Personbil,680,TOYOTA YARIS,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR3,TOYOTA,PB,ITRAFIK,Halvkombi,2021.0,,Personbil,680,TOYOTA YARIS,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR4,TOYOTA,PB,ITRAFIK,Halvkombi,2019.0,,Personbil,720,TOYOTA COROLLA,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR5,TOYOTA,PB,ITRAFIK,Fordon avsett för fler ändamål,2022.0,,Personbil,880,PROACE,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 8,REGNR6,TOYOTA,LB,ITRAFIK,Skåpbil,2021.0,,Lätt lastbil,810,PROACE CITY,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 8,REGNR7,TIMARS CHEL,SLÄP,AVST,Övrigt,1900.0,,Släp,,,Övrigt,True,Släp,rule_based,,
Client - 8,REGNR8,TOYOTA,LB,ITRAFIK,Skåpbil,2021.0,,Lätt lastbil,960,PROACE CITY,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 8,REGNR9,TOYOTA,PB,ITRAFIK,Halvkombi,2020.0,,Personbil,680,TOYOTA YARIS,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR10,TOYOTA,PB,ITRAFIK,Stationsvagn kombivagn,2020.0,,Personbil,1310,TOYOTA RAV4,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 8,REGNR11,TOYOTA,PB,ITRAFIK,Halvkombi,2020.0,,Personbil,720,TOYOTA COROLLA,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR12,TOYOTA,PB,ITRAFIK,Halvkombi,2021.0,,Personbil,720,TOYOTA COROLLA,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR13,TOYOTA,PB,ITRAFIK,Halvkombi,2019.0,,Personbil,720,TOYOTA COROLLA,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR14,TOYOTA,PB,ITRAFIK,Stationsvagn kombivagn,2023.0,,Personbil,1310,TOYOTA RAV4,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 8,REGNR15,TOYOTA,PB,ITRAFIK,Fordon avsett för fler ändamål,2020.0,,Personbil,540,TOYOTA YARIS HYBRID,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 8,REGNR16,TOYOTA,PB,ITRAFIK,Fordon avsett för fler ändamål,2023.0,,Personbil,880,PROACE,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 8,REGNR17,PEUGEOT,PB,ITRAFIK,Stationsvagn kombivagn,2022.0,,Personbil,960,508,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 8,REGNR18,NIEWIADOW,SLÄP,ITRAFIK,Släpkärra,2017.0,,Lätt släp,,BEG7527U,Släpkärra,True,Släp,rule_based,,
Client - 8,REGNR19,TOYOTA,PB,ITRAFIK,Halvkombi,2023.0,,Personbil,680,TOYOTA YARIS,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR20,TOYOTA,PB,ITRAFIK,Halvkombi,2023.0,,Personbil,680,TOYOTA YARIS,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR21,THULE C05,SLÄP,ITRAFIK,Skåp,2013.0,,Släp,,CE130035R,Skåp,True,Släp,rule_based,,
Client - 8,REGNR22,SUZUKI LT-F4WD,TGSK,ITRAFIK,Person,1991.0,,???,,,Person,False,Släp,ml_model,0.916,LogReg: Släp (92%)
Client - 8,REGNR23,TOYOTA,PB,ITRAFIK,Fordon avsett för fler ändamål,2020.0,,Personbil,540,TOYOTA YARIS HYBRID,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 8,REGNR24,"VOLKSWAGEN, VW",PB,ITRAFIK,Stationsvagn kombivagn,2022.0,,Personbil,1100,T-ROC,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 8,REGNR25,TOYOTA,PB,ITRAFIK,Stationsvagn kombivagn,2019.0,,Personbil,720,TOYOTA COROLLA,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 8,REGNR26,"VOLKSWAGEN, VW",PB,ITRAFIK,Stationsvagn kombivagn,2022.0,,Personbil,1100,T-ROC,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 8,REGNR27,TOYOTA,PB,ITRAFIK,Halvkombi,2019.0,,Personbil,720,TOYOTA COROLLA,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR28,TOYOTA,PB,ITRAFIK,Halvkombi,2023.0,,Personbil,680,TOYOTA YARIS,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR29,TOYOTA,PB,ITRAFIK,Fordon avsett för fler ändamål,2019.0,,Personbil,730,TOYOTA PRIUS PLUS,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 8,REGNR30,TIKI,SLÄP,ITRAFIK,Släpkärra,2021.0,,Lätt släp,,CP250-R,Släpkärra,True,Släp,rule_based,,
Client - 8,REGNR31,PEUGEOT,PB,ITRAFIK,Stationsvagn kombivagn,2022.0,,Personbil,960,508,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 8,REGNR32,TOYOTA,PB,ITRAFIK,Fordon avsett för fler ändamål,2019.0,,Personbil,540,TOYOTA YARIS HYBRID,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 8,REGNR33,TOYOTA,PB,ITRAFIK,Halvkombi,2020.0,,Personbil,720,TOYOTA COROLLA,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR34,TOYOTA,PB,ITRAFIK,Halvkombi,2023.0,,Personbil,680,TOYOTA YARIS,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR35,TOYOTA,PB,ITRAFIK,Halvkombi,2021.0,,,,,,False,Personbil,ml_model,0.854,LogReg: Personbil (85%)
Client - 8,REGNR36,TOYOTA,PB,ITRAFIK,Halvkombi,2020.0,,,,,,False,Personbil,ml_model,0.854,LogReg: Personbil (85%)
Client - 8,REGNR37,TOYOTA,PB,ITRAFIK,Halvkombi,2023.0,,Personbil,680,TOYOTA YARIS,Halvkombi,True,Personbil,rule_based,,
Client - 8,REGNR38,TOYOTA,PB,ITRAFIK,Stationsvagn kombivagn,2022.0,,Personbil,720,TOYOTA COROLLA,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 8,REGNR39,TOYOTA,PB,ITRAFIK,Fordon avsett för fler ändamål,2019.0,,Personbil,730,TOYOTA PRIUS PLUS,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 8,REGNR40,RENAULT JL TRAFIC,PB,ITRAFIK,Fordon avsett för fler ändamål,2005.0,,Personbil,870,,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 8,REGNR41,TOYOTA,PB,ITRAFIK,Fordon avsett för fler ändamål,2020.0,,Personbil,540,TOYOTA YARIS HYBRID,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 8,REGNR42,TOYOTA,PB,ITRAFIK,Fordon avsett för fler ändamål,2020.0,,Personbil,540,TOYOTA YARIS HYBRID,Fordon avsett för fler ändamål,True,Personbil,rule_based,,
Client - 8,REGNR43,TOYOTA,PB,ITRAFIK,Stationsvagn kombivagn,2021.0,,Personbil,1310,TOYOTA RAV4,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 8,REGNR44,TOYOTA,PB,ITRAFIK,Halvkombi,2023.0,,Personbil,680,TOYOTA YARIS,Halvkombi,True,Personbil,rule_based,,
Client - 6,REGNR45,KIA,PB,ITRAFIK,Stationsvagn kombivagn,2021.0,,Personbil,,NIRO,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 6,REGNR46,TRAILERGRUPPEN D 1000,SLÄP,ITRAFIK,Flak - Godslåda,1996.0,,Släp,,,Flak - Godslåda,True,Släp,rule_based,,
Client - 6,REGNR47,RENAULT,LB,ITRAFIK,Skåpbil,2019.0,,Lätt lastbil,1070,TRAFIC,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 6,REGNR48,SEAT,PB,ITRAFIK,Halvkombi,2020.0,,Personbil,700,ARONA,Halvkombi,True,Personbil,rule_based,,
Client - 6,REGNR49,RENAULT,LB,ITRAFIK,Skåpbil,2019.0,,Lätt lastbil,1070,TRAFIC,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 6,REGNR50,"VW PICKUP DH 2,5 4-MOT",LB,ITRAFIK,Brandfordon,2009.0,,Brandbil lätt,960,,Brandfordon,True,Lätt brandfordon,rule_based,,
Client - 6,REGNR51,"VOLKSWAGEN, VW",LB,ITRAFIK,Skåpbil,2022.0,,Lätt lastbil,900,CADDY,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 6,REGNR52,KIA,PB,ITRAFIK,Halvkombi,2021.0,,Personbil,,SOUL,Halvkombi,True,Personbil,rule_based,,
Client - 6,REGNR53,"VOLKSWAGEN, VW",PB,ITRAFIK,Stationsvagn kombivagn,2023.0,,Personbil,1100,T-ROC,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 6,REGNR54,"VOLKSWAGEN, VW",LB,ITRAFIK,Skåpbil,2016.0,,Lätt lastbil,900,CADDY,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 6,REGNR55,VOLVO,MRED,ITRAFIK,Hjullastare,2021.0,,???,2030,L120H,Hjullastare,False,Personbil,ml_model,0.842,LogReg: Personbil (84%)
Client - 6,REGNR56,SUBARU,PB,ITRAFIK,Stationsvagn kombivagn,2020.0,,Personbil,1100,XV,Stationsvagn kombivagn,True,Personbil,rule_based,,
Client - 6,REGNR57,"VOLKSWAGEN, VW",LB,ITRAFIK,Skåpbil,2015.0,,Lätt lastbil,900,CADDY,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 6,REGNR58,PEUGEOT,LB,ITRAFIK,Skåpbil,2019.0,,Lätt lastbil,750,PARTNER,Skåpbil,True,Lätt lastbil,rule_based,,
Client - 6,REGNR59,KIA,PB,ITRAFIK,Halvkombi,2021.0,,Personbil,,SOUL,Halvkombi,True,Personbil,rule_based,,
Client - 6,REGNR60,KIA,PB,ITRAFIK,Halvkombi,2021.0,,Personbil,,SOUL,Halvkombi,True,Personbil,rule_based,,
Client - 6,REGNR61,FORD 2AW,LB,ITRAFIK,Lastbil,2011.0,,Lätt lastbil,1050,RANGER,Lastbil,True,Lätt lastbil,rule_based,,
Client - 6,REGNR62,GISEBO II 1025,SLÄP,ITRAFIK,Flak - Godslåda,1990.0,,Släp,,,Flak - Godslåda,True,Släp,rule_based,,
